candidate,county,district,office,party,votes
Alan Keyes,Preble,,President,Independent,0
Platt Robertson,Preble,,President,Independent,0
Joe Schriner,Preble,,President,Independent,0
John McCain,Putnam,,President,Republican,13072
Barack Obama,Putnam,,President,Democratic,5281
Ralph Nader,Putnam,,President,Independent,163
Bob Barr,Putnam,,President,Libertarian,80
Chuck Baldwin,Putnam,,President,Constitution,41
Cynthia McKinney,Putnam,,President,Green,23
Brian Moore,Putnam,,President,Socialist,11
Richard Duncan,Putnam,,President,Independent,9
Donald Allen,Putnam,,President,Independent,0
Jonathan Allen,Putnam,,President,Independent,0
James Germalic,Putnam,,President,Independent,0
Alan Keyes,Putnam,,President,Independent,0
Platt Robertson,Putnam,,President,Independent,0
Joe Schriner,Putnam,,President,Independent,0
John McCain,Richland,,President,Republican,34034
Barack Obama,Richland,,President,Democratic,25727
Ralph Nader,Richland,,President,Independent,579
Chuck Baldwin,Richland,,President,Constitution,284
Bob Barr,Richland,,President,Libertarian,238
Cynthia McKinney,Richland,,President,Green,113
Richard Duncan,Richland,,President,Independent,76
Brian Moore,Richland,,President,Socialist,71
Donald Allen,Richland,,President,Independent,0
Jonathan Allen,Richland,,President,Independent,0
James Germalic,Richland,,President,Independent,0
Alan Keyes,Richland,,President,Independent,0
Platt Robertson,Richland,,President,Independent,0
Joe Schriner,Richland,,President,Independent,0
John McCain,Ross,,President,Republican,16759
Barack Obama,Ross,,President,Democratic,14455
Ralph Nader,Ross,,President,Independent,289
Bob Barr,Ross,,President,Libertarian,127
Chuck Baldwin,Ross,,President,Constitution,67
Cynthia McKinney,Ross,,President,Green,63
Richard Duncan,Ross,,President,Independent,60
Brian Moore,Ross,,President,Socialist,20
Donald Allen,Ross,,President,Independent,0
Jonathan Allen,Ross,,President,Independent,0
James Germalic,Ross,,President,Independent,0
Alan Keyes,Ross,,President,Independent,0
Platt Robertson,Ross,,President,Independent,0
Joe Schriner,Ross,,President,Independent,0
Barack Obama,Sandusky,,President,Democratic,15602
John McCain,Sandusky,,President,Republican,14192
Ralph Nader,Sandusky,,President,Independent,300
Bob Barr,Sandusky,,President,Libertarian,122
Chuck Baldwin,Sandusky,,President,Constitution,83
Cynthia McKinney,Sandusky,,President,Green,51
Brian Moore,Sandusky,,President,Socialist,15
Richard Duncan,Sandusky,,President,Independent,12
Donald Allen,Sandusky,,President,Independent,0
Jonathan Allen,Sandusky,,President,Independent,0
James Germalic,Sandusky,,President,Independent,0
Alan Keyes,Sandusky,,President,Independent,0
Platt Robertson,Sandusky,,President,Independent,0
Joe Schriner,Sandusky,,President,Independent,0
John McCain,Scioto,,President,Republican,16994
Barack Obama,Scioto,,President,Democratic,14926
Ralph Nader,Scioto,,President,Independent,348
Bob Barr,Scioto,,President,Libertarian,117
Chuck Baldwin,Scioto,,President,Constitution,74
Cynthia McKinney,Scioto,,President,Green,46
Brian Moore,Scioto,,President,Socialist,34
Richard Duncan,Scioto,,President,Independent,31
Alan Keyes,Scioto,,President,Independent,1
Donald Allen,Scioto,,President,Independent,0
Jonathan Allen,Scioto,,President,Independent,0
James Germalic,Scioto,,President,Independent,0
Platt Robertson,Scioto,,President,Independent,0
Joe Schriner,Scioto,,President,Independent,0
John McCain,Seneca,,President,Republican,13823
Barack Obama,Seneca,,President,Democratic,13087
Ralph Nader,Seneca,,President,Independent,289
Bob Barr,Seneca,,President,Libertarian,96
Chuck Baldwin,Seneca,,President,Constitution,74
Cynthia McKinney,Seneca,,President,Green,47
Richard Duncan,Seneca,,President,Independent,23
Brian Moore,Seneca,,President,Socialist,10
Donald Allen,Seneca,,President,Independent,0
Jonathan Allen,Seneca,,President,Independent,0
James Germalic,Seneca,,President,Independent,0
Alan Keyes,Seneca,,President,Independent,0
Platt Robertson,Seneca,,President,Independent,0
Joe Schriner,Seneca,,President,Independent,0
John McCain,Shelby,,President,Republican,15924
Barack Obama,Shelby,,President,Democratic,7316
Ralph Nader,Shelby,,President,Independent,230
Bob Barr,Shelby,,President,Libertarian,62
Chuck Baldwin,Shelby,,President,Constitution,49
Cynthia McKinney,Shelby,,President,Green,46
Richard Duncan,Shelby,,President,Independent,22
Brian Moore,Shelby,,President,Socialist,13
Joe Schriner,Shelby,,President,Independent,5
Donald Allen,Shelby,,President,Independent,0
Jonathan Allen,Shelby,,President,Independent,0
James Germalic,Shelby,,President,Independent,0
Alan Keyes,Shelby,,President,Independent,0
Platt Robertson,Shelby,,President,Independent,0
Barack Obama,Stark,,President,Democratic,96990
John McCain,Stark,,President,Republican,86743
Ralph Nader,Stark,,President,Independent,1784
Bob Barr,Stark,,President,Libertarian,663
Chuck Baldwin,Stark,,President,Constitution,660
Cynthia McKinney,Stark,,President,Green,347
Richard Duncan,Stark,,President,Independent,221
Brian Moore,Stark,,President,Socialist,132
Joe Schriner,Stark,,President,Independent,4
Alan Keyes,Stark,,President,Independent,1
Donald Allen,Stark,,President,Independent,0
Jonathan Allen,Stark,,President,Independent,0
James Germalic,Stark,,President,Independent,0
Platt Robertson,Stark,,President,Independent,0
Barack Obama,Summit,,President,Democratic,160858
John McCain,Summit,,President,Republican,113284
Ralph Nader,Summit,,President,Independent,1758
Bob Barr,Summit,,President,Libertarian,806
Chuck Baldwin,Summit,,President,Constitution,477
Cynthia McKinney,Summit,,President,Green,321
Richard Duncan,Summit,,President,Independent,95
Brian Moore,Summit,,President,Socialist,76
Alan Keyes,Summit,,President,Independent,7
Joe Schriner,Summit,,President,Independent,3
Donald Allen,Summit,,President,Independent,0
Jonathan Allen,Summit,,President,Independent,0
James Germalic,Summit,,President,Independent,0
Platt Robertson,Summit,,President,Independent,0
Barack Obama,Trumbull,,President,Democratic,64145
John McCain,Trumbull,,President,Republican,40164
Ralph Nader,Trumbull,,President,Independent,1285
Bob Barr,Trumbull,,President,Libertarian,433
Chuck Baldwin,Trumbull,,President,Constitution,381
Cynthia McKinney,Trumbull,,President,Green,245
Richard Duncan,Trumbull,,President,Independent,137
Brian Moore,Trumbull,,President,Socialist,89
Donald Allen,Trumbull,,President,Independent,23
Alan Keyes,Trumbull,,President,Independent,9
Jonathan Allen,Trumbull,,President,Independent,0
James Germalic,Trumbull,,President,Independent,0
Platt Robertson,Trumbull,,President,Independent,0
Joe Schriner,Trumbull,,President,Independent,0
Barack Obama,Tuscarawas,,President,Democratic,21498
John McCain,Tuscarawas,,President,Republican,20454
Ralph Nader,Tuscarawas,,President,Independent,465
Bob Barr,Tuscarawas,,President,Libertarian,178
Chuck Baldwin,Tuscarawas,,President,Constitution,161
Cynthia McKinney,Tuscarawas,,President,Green,89
Richard Duncan,Tuscarawas,,President,Independent,60
Brian Moore,Tuscarawas,,President,Socialist,45
Donald Allen,Tuscarawas,,President,Independent,0
Jonathan Allen,Tuscarawas,,President,Independent,0
James Germalic,Tuscarawas,,President,Independent,0
Alan Keyes,Tuscarawas,,President,Independent,0
Platt Robertson,Tuscarawas,,President,Independent,0
Joe Schriner,Tuscarawas,,President,Independent,0
John McCain,Union,,President,Republican,15744
Barack Obama,Union,,President,Democratic,8761
Ralph Nader,Union,,President,Independent,173
Bob Barr,Union,,President,Libertarian,114
Chuck Baldwin,Union,,President,Constitution,66
Cynthia McKinney,Union,,President,Green,34
Richard Duncan,Union,,President,Independent,23
Brian Moore,Union,,President,Socialist,13
Donald Allen,Union,,President,Independent,0
Jonathan Allen,Union,,President,Independent,0
James Germalic,Union,,President,Independent,0
Alan Keyes,Union,,President,Independent,0
Platt Robertson,Union,,President,Independent,0
Joe Schriner,Union,,President,Independent,0
John McCain,Van Wert,,President,Republican,9168
Barack Obama,Van Wert,,President,Democratic,5178
Ralph Nader,Van Wert,,President,Independent,139
Bob Barr,Van Wert,,President,Libertarian,79
Chuck Baldwin,Van Wert,,President,Constitution,34
Cynthia McKinney,Van Wert,,President,Green,28
Richard Duncan,Van Wert,,President,Independent,21
Brian Moore,Van Wert,,President,Socialist,5
Donald Allen,Van Wert,,President,Independent,0
Jonathan Allen,Van Wert,,President,Independent,0
James Germalic,Van Wert,,President,Independent,0
Alan Keyes,Van Wert,,President,Independent,0
Platt Robertson,Van Wert,,President,Independent,0
Joe Schriner,Van Wert,,President,Independent,0
John McCain,Vinton,,President,Republican,3021
Barack Obama,Vinton,,President,Democratic,2463
Ralph Nader,Vinton,,President,Independent,94
Bob Barr,Vinton,,President,Libertarian,21
Cynthia McKinney,Vinton,,President,Green,21
Richard Duncan,Vinton,,President,Independent,13
Chuck Baldwin,Vinton,,President,Constitution,8
Brian Moore,Vinton,,President,Socialist,5
Donald Allen,Vinton,,President,Independent,0
Jonathan Allen,Vinton,,President,Independent,0
James Germalic,Vinton,,President,Independent,0
Alan Keyes,Vinton,,President,Independent,0
Platt Robertson,Vinton,,President,Independent,0
Joe Schriner,Vinton,,President,Independent,0
John McCain,Warren,,President,Republican,71691
Barack Obama,Warren,,President,Democratic,33398
Ralph Nader,Warren,,President,Independent,488
Bob Barr,Warren,,President,Libertarian,352
Chuck Baldwin,Warren,,President,Constitution,162
Cynthia McKinney,Warren,,President,Green,83
Richard Duncan,Warren,,President,Independent,21
Brian Moore,Warren,,President,Socialist,21
Donald Allen,Warren,,President,Independent,0
Jonathan Allen,Warren,,President,Independent,0
James Germalic,Warren,,President,Independent,0
Alan Keyes,Warren,,President,Independent,0
Platt Robertson,Warren,,President,Independent,0
Joe Schriner,Warren,,President,Independent,0
John McCain,Washington,,President,Republican,17019
Barack Obama,Washington,,President,Democratic,12368
Ralph Nader,Washington,,President,Independent,285
Bob Barr,Washington,,President,Libertarian,91
Chuck Baldwin,Washington,,President,Constitution,75
Cynthia McKinney,Washington,,President,Green,44
Richard Duncan,Washington,,President,Independent,31
Brian Moore,Washington,,President,Socialist,18
Alan Keyes,Washington,,President,Independent,1
Donald Allen,Washington,,President,Independent,0
Jonathan Allen,Washington,,President,Independent,0
James Germalic,Washington,,President,Independent,0
Platt Robertson,Washington,,President,Independent,0
Joe Schriner,Washington,,President,Independent,0
John McCain,Wayne,,President,Republican,29342
Barack Obama,Wayne,,President,Democratic,21712
Ralph Nader,Wayne,,President,Independent,433
Chuck Baldwin,Wayne,,President,Constitution,261
Bob Barr,Wayne,,President,Libertarian,173
Cynthia McKinney,Wayne,,President,Green,108
Brian Moore,Wayne,,President,Socialist,56
Richard Duncan,Wayne,,President,Independent,54
Joe Schriner,Wayne,,President,Independent,3
Donald Allen,Wayne,,President,Independent,0
Jonathan Allen,Wayne,,President,Independent,0
James Germalic,Wayne,,President,Independent,0
Alan Keyes,Wayne,,President,Independent,0
Platt Robertson,Wayne,,President,Independent,0
John McCain,Williams,,President,Republican,9879
Barack Obama,Williams,,President,Democratic,8174
Ralph Nader,Williams,,President,Independent,153
Bob Barr,Williams,,President,Libertarian,64
Chuck Baldwin,Williams,,President,Constitution,54
Cynthia McKinney,Williams,,President,Green,44
Richard Duncan,Williams,,President,Independent,15
Brian Moore,Williams,,President,Socialist,13
Donald Allen,Williams,,President,Independent,0
Jonathan Allen,Williams,,President,Independent,0
James Germalic,Williams,,President,Independent,0
Alan Keyes,Williams,,President,Independent,0
Platt Robertson,Williams,,President,Independent,0
Joe Schriner,Williams,,President,Independent,0
Barack Obama,Wood,,President,Democratic,34285
John McCain,Wood,,President,Republican,29648
Ralph Nader,Wood,,President,Independent,513
Bob Barr,Wood,,President,Libertarian,301
Chuck Baldwin,Wood,,President,Constitution,129
Cynthia McKinney,Wood,,President,Green,95
Brian Moore,Wood,,President,Socialist,27
Richard Duncan,Wood,,President,Independent,24
Alan Keyes,Wood,,President,Independent,1
Donald Allen,Wood,,President,Independent,0
Jonathan Allen,Wood,,President,Independent,0
James Germalic,Wood,,President,Independent,0
Platt Robertson,Wood,,President,Independent,0
Joe Schriner,Wood,,President,Independent,0
John McCain,Wyandot,,President,Republican,6270
Barack Obama,Wyandot,,President,Democratic,4461
Ralph Nader,Wyandot,,President,Independent,134
Bob Barr,Wyandot,,President,Libertarian,39
Chuck Baldwin,Wyandot,,President,Constitution,32
Cynthia McKinney,Wyandot,,President,Green,18
Richard Duncan,Wyandot,,President,Independent,13
Brian Moore,Wyandot,,President,Socialist,10
Donald Allen,Wyandot,,President,Independent,0
Jonathan Allen,Wyandot,,President,Independent,0
James Germalic,Wyandot,,President,Independent,0
Alan Keyes,Wyandot,,President,Independent,0
Platt Robertson,Wyandot,,President,Independent,0
Joe Schriner,Wyandot,,President,Independent,0
Danny Bubp,Adams,88.0,State Representative,Republican,4952
Todd Book,Adams,89.0,State Representative,Democratic,2422
Matt Huffman,Allen,4.0,State Representative,Republican,39979
Dave Hall,Ashland,97.0,State Representative,Republican,10248
Luke Brewer,Ashland,97.0,State Representative,Democratic,6336
Margaret Ruhl,Ashland,90.0,State Representative,Republican,3113
Duane Grassbaugh,Ashland,90.0,State Representative,Democratic,2665
Deborah Newcomb,Ashtabula,99.0,State Representative,Democratic,24469
Tom Nizen,Ashtabula,99.0,State Representative,Republican,18315
Debbie Phillips,Athens,92.0,State Representative,Democratic,16801
Jill Thompson,Athens,92.0,State Representative,Republican,11993
John Adams,Auglaize,78.0,State Representative,Republican,12566
Clifford Hite,Auglaize,76.0,State Representative,Republican,5865
Patrick Matheny,Auglaize,76.0,State Representative,Independent,0
John Domenick,Belmont,95.0,State Representative,Democratic,13986
Allan Sayre,Belmont,96.0,State Representative,Democratic,10377
Daniel Jenkins,Belmont,95.0,State Representative,Republican,2842
Dallas Charton,Belmont,96.0,State Representative,Independent,63
Danny Bubp,Brown,88.0,State Representative,Republican,15742
Bill Coley,Butler,55.0,State Representative,Republican,37036
Timothy Derickson,Butler,53.0,State Representative,Republican,33625
Courtney Combs,Butler,54.0,State Representative,Republican,26712
Tony Klimek,Butler,55.0,State Representative,Democratic,21926
Ken Keith,Butler,54.0,State Representative,Democratic,20118
Rocky Day,Butler,53.0,State Representative,Democratic,17441
Mark Okey,Carroll,61.0,State Representative,Democratic,8402
Kirk Susany,Carroll,61.0,State Representative,Republican,4327
Paul Ray,Carroll,61.0,State Representative,Independent,509
John Adams,Champaign,78.0,State Representative,Republican,13556
Ross McGregor,Clark,72.0,State Representative,Republican,22679
Richard Spangler,Clark,72.0,State Representative,Democratic,22146
Robert Hackett,Clark,84.0,State Representative,Republican,11022
Connie Crockett,Clark,84.0,State Representative,Democratic,7920
Joe Uecker,Clermont,66.0,State Representative,Republican,49363
Danny Bubp,Clermont,88.0,State Representative,Republican,20607
David Daniels,Clinton,86.0,State Representative,Republican,11619
Bill Horne,Clinton,86.0,State Representative,Democratic,6572
Linda Bolon,Columbiana,1.0,State Representative,Democratic,30378
Caroline Hergenrother,Columbiana,1.0,State Representative,Republican,16852
Troy Balderson,Coshocton,94.0,State Representative,Republican,8826
Jennifer Stewart,Coshocton,94.0,State Representative,Democratic,7474
Jeffrey McClain,Crawford,82.0,State Representative,Republican,9992
Wanda Sharrock,Crawford,82.0,State Representative,Democratic,8108
Mark Smith,Crawford,82.0,State Representative,Independent,2004
Josh Mandel,Cuyahoga,17.0,State Representative,Republican,48280
Armond Budish,Cuyahoga,8.0,State Representative,Democratic,44746
Michael DeBose,Cuyahoga,12.0,State Representative,Democratic,40816
Barbara Boyd,Cuyahoga,9.0,State Representative,Democratic,39305
Kenny Yuko,Cuyahoga,7.0,State Representative,Democratic,37927
Timothy DeGeeter,Cuyahoga,15.0,State Representative,Democratic,32364
Nan Baker,Cuyahoga,16.0,State Representative,Republican,30900
Jennifer Brady,Cuyahoga,16.0,State Representative,Democratic,29777
Mike Foley,Cuyahoga,14.0,State Representative,Democratic,29684
Matt Patten,Cuyahoga,18.0,State Representative,Democratic,28425
Sandra Williams,Cuyahoga,11.0,State Representative,Democratic,27982
Colleen Grady,Cuyahoga,18.0,State Representative,Republican,27468
Michael Skindell,Cuyahoga,13.0,State Representative,Democratic,27010
Eugene Miller,Cuyahoga,10.0,State Representative,Democratic,23975
Bob Belovich,Cuyahoga,17.0,State Representative,Democratic,19119
David Morris,Cuyahoga,14.0,State Representative,Republican,10604
Mary-Louise Kirk,Cuyahoga,13.0,State Representative,Republican,8865
Beverly Valencic,Cuyahoga,7.0,State Representative,Republican,8373
Matthew Dolan,Cuyahoga,98.0,State Representative,Republican,6789
Jerry Powell,Cuyahoga,8.0,State Representative,Republican,6430
Charles Drake,Cuyahoga,9.0,State Representative,Republican,5588
Rosalind McAllister,Cuyahoga,11.0,State Representative,Republican,4765
Bryan Glencer,Cuyahoga,12.0,State Representative,Republican,4122
James Zehringer,Darke,77.0,State Representative,Republican,13024
Richard Adams,Darke,79.0,State Representative,Republican,5297
Melissa Stanley,Darke,79.0,State Representative,Democratic,2676
Bruce Goodwin,Defiance,74.0,State Representative,Republican,11512
David Pilliod,Defiance,74.0,State Representative,Democratic,5829
Lynn Wachtmann,Defiance,75.0,State Representative,Republican,488
Kris Jordan,Delaware,2.0,State Representative,Republican,51280
Janice Lanier,Delaware,2.0,State Representative,Democratic,32394
Dennis Murray,Erie,80.0,State Representative,Democratic,21068
Ed Enderle,Erie,80.0,State Representative,Republican,18598
Gerald Stebelton,Fairfield,5.0,State Representative,Republican,48241
John Schlichter,Fayette,85.0,State Representative,Republican,5942
Raymond Pryor,Fayette,85.0,State Representative,Democratic,5332
Tracy Heard,Franklin,26.0,State Representative,Democratic,40248
John Carney,Franklin,22.0,State Representative,Democratic,36414
Cheryl Grossman,Franklin,23.0,State Representative,Republican,35459
W. Weddington,Franklin,27.0,State Representative,Democratic,35293
Marian Harris,Franklin,19.0,State Representative,Democratic,33796
Ted Celeste,Franklin,24.0,State Representative,Democratic,33656
Brad Lewis,Franklin,19.0,State Representative,Republican,33061
Nancy Garland,Franklin,20.0,State Representative,Democratic,32232
Jim Mc Gregor,Franklin,20.0,State Representative,Republican,30580
Dan Stewart,Franklin,25.0,State Representative,Democratic,29712
Michael Keenan,Franklin,22.0,State Representative,Republican,27956
Kevin Bacon,Franklin,21.0,State Representative,Republican,27494
Keith Goldhardt,Franklin,23.0,State Representative,Democratic,24904
Tim Rankin,Franklin,24.0,State Representative,Republican,24605
Jay Perez,Franklin,21.0,State Representative,Democratic,24073
Daryl Hennessy,Franklin,25.0,State Representative,Republican,15783
Joseph Healy,Franklin,26.0,State Representative,Republican,8162
Jim Hunter,Franklin,27.0,State Representative,Republican,7185
Michael Johnston,Franklin,19.0,State Representative,Libertarian,3366
Jeremiah Arn,Franklin,21.0,State Representative,Libertarian,1772
Bruce Goodwin,Fulton,74.0,State Representative,Republican,11377
David Pilliod,Fulton,74.0,State Representative,Democratic,8491
Clyde Evans,Gallia,87.0,State Representative,Republican,9368
Shane Meldick,Gallia,87.0,State Representative,Democratic,3623
Matthew Dolan,Geauga,98.0,State Representative,Republican,36017
Jarrod Martin,Greene,70.0,State Representative,Republican,33619
Bill Conner,Greene,70.0,State Representative,Democratic,22836
Robert Hackett,Greene,84.0,State Representative,Republican,12096
Connie Crockett,Greene,84.0,State Representative,Democratic,7501
Jennifer Garrison,Guernsey,93.0,State Representative,Democratic,10585
Wayne Smith,Guernsey,93.0,State Representative,Republican,5041
Bob Mecklenborg,Hamilton,30.0,State Representative,Republican,44338
Tyrone Yates,Hamilton,33.0,State Representative,Democratic,36408
Dale Mallory,Hamilton,32.0,State Representative,Democratic,35042
Peter Stautberg,Hamilton,34.0,State Representative,Republican,34334
Connie Pillich,Hamilton,28.0,State Representative,Democratic,31401
Louis Blessing,Hamilton,29.0,State Representative,Republican,30802
Virgil Lovitt,Hamilton,28.0,State Representative,Republican,25849
Denise Driehaus,Hamilton,31.0,State Representative,Democratic,25600
Adam Noe,Hamilton,29.0,State Representative,Democratic,25547
Ron Maag,Hamilton,35.0,State Representative,Republican,23634
Jeff Sinnard,Hamilton,34.0,State Representative,Democratic,23273
Bob Klug,Hamilton,30.0,State Representative,Democratic,15343
Steve Johnson,Hamilton,31.0,State Representative,Republican,11735
Thomas Brown,Hamilton,33.0,State Representative,Republican,10698
Theo Barnes,Hamilton,32.0,State Representative,Republican,8617
Marcia Garrison,Hamilton,35.0,State Representative,Independent,216
Jonathan Morris,Hamilton,35.0,State Representative,Independent,6
Clifford Hite,Hancock,76.0,State Representative,Republican,28379
Patrick Matheny,Hancock,76.0,State Representative,Independent,702
Clifford Hite,Hardin,76.0,State Representative,Republican,9311
Patrick Matheny,Hardin,76.0,State Representative,Independent,10
Allan Sayre,Harrison,96.0,State Representative,Democratic,5800
Dallas Charton,Harrison,96.0,State Representative,Independent,5
Lynn Wachtmann,Henry,75.0,State Representative,Republican,11055
David Daniels,Highland,86.0,State Representative,Republican,10972
Bill Horne,Highland,86.0,State Representative,Democratic,7482
Dan Dodd,Hocking,91.0,State Representative,Democratic,7727
Bill Hayes,Hocking,91.0,State Representative,Republican,4525
Dave Hall,Holmes,97.0,State Representative,Republican,7000
Luke Brewer,Holmes,97.0,State Representative,Democratic,3540
Terry Boose,Huron,58.0,State Representative,Republican,14642
Terry Traster,Huron,58.0,State Representative,Democratic,9595
Clyde Evans,Jackson,87.0,State Representative,Republican,7746
Shane Meldick,Jackson,87.0,State Representative,Democratic,5918
John Domenick,Jefferson,95.0,State Representative,Democratic,24510
Daniel Jenkins,Jefferson,95.0,State Representative,Republican,9622
Margaret Ruhl,Knox,90.0,State Representative,Republican,14883
Duane Grassbaugh,Knox,90.0,State Representative,Democratic,12057
Lorraine Fende,Lake,62.0,State Representative,Democratic,34525
Mark Schneider,Lake,63.0,State Representative,Democratic,29655
Carol-Ann Schindel,Lake,63.0,State Representative,Republican,25187
Mike Gutierrez,Lake,62.0,State Representative,Republican,20549
Todd Book,Lawrence,89.0,State Representative,Democratic,9589
Clyde Evans,Lawrence,87.0,State Representative,Republican,7975
Shane Meldick,Lawrence,87.0,State Representative,Democratic,5160
Jay Hottinger,Licking,71.0,State Representative,Republican,36362
Howard Hill,Licking,71.0,State Representative,Democratic,22287
Bill Hayes,Licking,91.0,State Representative,Republican,9804
Dan Dodd,Licking,91.0,State Representative,Democratic,8948
Dave Burke,Logan,83.0,State Representative,Republican,16362
Joseph Koziura,Lorain,56.0,State Representative,Democratic,38002
Matt Lundy,Lorain,57.0,State Representative,Democratic,37193
Daniel Urban,Lorain,57.0,State Representative,Republican,27367
Terry Traster,Lorain,58.0,State Representative,Democratic,12554
Terry Boose,Lorain,58.0,State Representative,Republican,10213
Barbara Sears,Lucas,46.0,State Representative,Republican,37651
Edna Brown,Lucas,48.0,State Representative,Democratic,37548
Matthew Szollosi,Lucas,49.0,State Representative,Democratic,34138
Peter Ujvagi,Lucas,47.0,State Representative,Democratic,32240
Darlene Dunn,Lucas,46.0,State Representative,Democratic,28346
Jeff Wingate,Lucas,49.0,State Representative,Republican,13124
Carolyn Eyre,Lucas,48.0,State Representative,Republican,6848
Robert Hackett,Madison,84.0,State Representative,Republican,10605
Connie Crockett,Madison,84.0,State Representative,Democratic,5785
Ronald Gerberry,Mahoning,59.0,State Representative,Democratic,37608
Robert Hagan,Mahoning,60.0,State Representative,Democratic,35754
Dick McCarthy,Mahoning,59.0,State Representative,Republican,24967
Mark Okey,Mahoning,61.0,State Representative,Democratic,7523
Timothy Gordon,Mahoning,60.0,State Representative,Republican,6360
Kirk Susany,Mahoning,61.0,State Representative,Republican,6301
Paul Ray,Mahoning,61.0,State Representative,Independent,602
Dave Burke,Marion,83.0,State Representative,Republican,8091
Jeffrey McClain,Marion,82.0,State Representative,Republican,7885
Wanda Sharrock,Marion,82.0,State Representative,Democratic,6887
Mark Smith,Marion,82.0,State Representative,Independent,1618
William Batchelder,Medina,69.0,State Representative,Republican,38684
Jack Schira,Medina,69.0,State Representative,Democratic,22505
Dave Hall,Medina,97.0,State Representative,Republican,10419
Luke Brewer,Medina,97.0,State Representative,Democratic,7904
Jill Thompson,Meigs,92.0,State Representative,Republican,5898
Debbie Phillips,Meigs,92.0,State Representative,Democratic,4133
James Zehringer,Mercer,77.0,State Representative,Republican,17567
Richard Adams,Miami,79.0,State Representative,Republican,30774
Melissa Stanley,Miami,79.0,State Representative,Democratic,18329
Jennifer Garrison,Monroe,93.0,State Representative,Democratic,5247
Wayne Smith,Monroe,93.0,State Representative,Republican,1536
Peggy Lehner,Montgomery,37.0,State Representative,Republican,35171
Terry Blair,Montgomery,38.0,State Representative,Republican,34825
Roland Winburn,Montgomery,40.0,State Representative,Democratic,34318
Seth Morgan,Montgomery,36.0,State Representative,Republican,33097
Clayton Luckie,Montgomery,39.0,State Representative,Democratic,29766
Susan Lienesch,Montgomery,38.0,State Representative,Democratic,22475
Charles Morton,Montgomery,36.0,State Representative,Democratic,22459
Andi Eveslage,Montgomery,37.0,State Representative,Democratic,19089
Ann Siefker,Montgomery,40.0,State Representative,Republican,13103
Joshua Smith,Montgomery,39.0,State Representative,Republican,6977
Jill Thompson,Morgan,92.0,State Representative,Republican,3504
Debbie Phillips,Morgan,92.0,State Representative,Democratic,2691
Margaret Ruhl,Morrow,90.0,State Representative,Republican,8371
Duane Grassbaugh,Morrow,90.0,State Representative,Democratic,6809
Troy Balderson,Muskingum,94.0,State Representative,Republican,19532
Jennifer Stewart,Muskingum,94.0,State Representative,Democratic,16674
Jennifer Garrison,Muskingum,93.0,State Representative,Democratic,1045
Wayne Smith,Muskingum,93.0,State Representative,Republican,905
Jennifer Garrison,Noble,93.0,State Representative,Democratic,4088
Wayne Smith,Noble,93.0,State Representative,Republican,1821
Dennis Murray,Ottawa,80.0,State Representative,Democratic,9194
Ed Enderle,Ottawa,80.0,State Representative,Republican,8005
Jeff Wagner,Ottawa,81.0,State Representative,Republican,2665
Andrew Kashmer,Ottawa,81.0,State Representative,Democratic,1872
Lynn Wachtmann,Paulding,75.0,State Representative,Republican,7098
Dan Dodd,Perry,91.0,State Representative,Democratic,9915
Bill Hayes,Perry,91.0,State Representative,Republican,4924
John Schlichter,Pickaway,85.0,State Representative,Republican,6047
Dan Dodd,Pickaway,91.0,State Representative,Democratic,5873
Bill Hayes,Pickaway,91.0,State Representative,Republican,5404
Raymond Pryor,Pickaway,85.0,State Representative,Democratic,4877
Bill Horne,Pike,86.0,State Representative,Democratic,6396
David Daniels,Pike,86.0,State Representative,Republican,5072
Kathleen Chandler,Portage,68.0,State Representative,Democratic,34251
W. Zeller,Portage,68.0,State Representative,Republican,18920
Stephen Dyer,Portage,43.0,State Representative,Democratic,10255
Judy Jones,Portage,43.0,State Representative,Republican,7036
James Zehringer,Preble,77.0,State Representative,Republican,15104
Lynn Wachtmann,Putnam,75.0,State Representative,Republican,14675
Jay Goyal,Richland,73.0,State Representative,Democratic,30359
David Nitzsche,Richland,73.0,State Representative,Republican,16913
Margaret Ruhl,Richland,90.0,State Representative,Republican,5719
Duane Grassbaugh,Richland,90.0,State Representative,Democratic,4136
Raymond Pryor,Ross,85.0,State Representative,Democratic,14927
John Schlichter,Ross,85.0,State Representative,Republican,10916
Clyde Evans,Ross,87.0,State Representative,Republican,2521
Shane Meldick,Ross,87.0,State Representative,Democratic,2103
Jeff Wagner,Sandusky,81.0,State Representative,Republican,18183
Andrew Kashmer,Sandusky,81.0,State Representative,Democratic,10749
Todd Book,Scioto,89.0,State Representative,Democratic,25844
Jeff Wagner,Seneca,81.0,State Representative,Republican,14823
Andrew Kashmer,Seneca,81.0,State Representative,Democratic,7009
Terry Boose,Seneca,58.0,State Representative,Republican,2682
Terry Traster,Seneca,58.0,State Representative,Democratic,1701
John Adams,Shelby,78.0,State Representative,Republican,18716
Scott Oelslager,Stark,51.0,State Representative,Republican,51418
Todd Snitchler,Stark,50.0,State Representative,Republican,31107
Stephen Slesnick,Stark,52.0,State Representative,Democratic,28365
Celeste DeHoff,Stark,50.0,State Representative,Democratic,24661
Richard Hart,Stark,52.0,State Representative,Republican,12981
Mark Okey,Stark,61.0,State Representative,Democratic,9339
Kirk Susany,Stark,61.0,State Representative,Republican,4929
